,Duration,Total_Stops,Price,Day,month,Month_num,Week_day,Week_num,Dep_hour,Dep_min,Arr_hour,Arr_min,duration_hour,duration_min,Dep_type,Arr_type,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Date_categ_Second Half
0,170,0,3897.0,24,3,3,3,11,22,20,1,10,2,50,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,445,2,7662.0,5,1,1,2,0,5,50,13,15,7,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1140,2,13882.0,6,9,9,0,35,9,25,4,25,19,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,325,1,6218.0,5,12,12,4,48,18,5,23,30,5,25,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,285,1,13302.0,3,1,1,4,0,16,50,21,35,4,45,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,145,0,3873.0,24,6,6,1,25,9,0,11,25,2,25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
6,930,1,11087.0,3,12,12,5,48,18,55,10,25,15,30,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1265,1,22270.0,3,1,1,4,0,8,0,5,5,21,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1530,1,11087.0,3,12,12,5,48,8,55,10,25,25,30,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,470,1,8625.0,27,5,5,1,21,11,25,19,15,7,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
10,795,1,8907.0,6,1,1,3,0,9,45,23,0,13,15,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11,155,0,4174.0,18,4,4,4,15,20,20,22,55,2,35,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12,135,0,4667.0,24,6,6,1,25,11,40,13,55,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
13,730,1,9663.0,5,9,9,4,35,21,10,9,20,12,10,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,155,0,4804.0,24,4,4,6,16,17,15,19,50,2,35,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,1595,2,14011.0,3,3,3,3,8,16,40,19,15,26,35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
